1S 2025-2026
Course Code,Course Title,Units,Section,Times,Days,Rooms
CMSC 12,Foundations of Computer Science,3,G,4:00-5:00,WF,EAA LH (D-206)
CMSC 12,Foundations of Computer Science,3,G-1L,7:00-10:00,Tues,PhySci C-100
CMSC 12,Foundations of Computer Science,3,G-2L,10:00-1:00,Tues,PhySci C-100
CMSC 12,Foundations of Computer Science,3,G-3L,4:00-7:00,Tues,PhySci C-100
CMSC 12,Foundations of Computer Science,3,G-4L,10:00-1:00,Wed,PhySci C-100
CMSC 12,Foundations of Computer Science,3,G-5L,7:00-10:00,Thurs,PhySci C-100
CMSC 12,Foundations of Computer Science,3,G-6L,10:00-1:00,Thurs,PhySci C-100
CMSC 12,Foundations of Computer Science,3,Y,4:00-5:00,TTh,EAA LH (D-206)
CMSC 12,Foundations of Computer Science,3,Y-1L,10:00-1:00,Tues,ICS PC 2 (D-203)
CMSC 12,Foundations of Computer Science,3,Y-2L,1:00-4:00,Tues,PhySci C-100
CMSC 12,Foundations of Computer Science,3,Y-3L,10:00-1:00,Wed,ICS PC 2 (D-203)
CMSC 12,Foundations of Computer Science,3,Y-4L,1:00-4:00,Wed,PhySci C-100
CMSC 12,Foundations of Computer Science,3,Y-5L,4:00-7:00,Wed,PhySci C-100
CMSC 12,Foundations of Computer Science,3,Y-6L,10:00-1:00,Thurs,ICS PC 2 (D-203)
CMSC 21,Fundamentals of Programming,3,UV,11:00-12:00,TTh,EAA LH (D-206)
CMSC 21,Fundamentals of Programming,3,UV-1L,4:00-7:00,Tues,ICS PC 2 (D-203)
CMSC 21,Fundamentals of Programming,3,UV-2L,4:00-7:00,Wed,ICS PC 2 (D-203)
CMSC 21,Fundamentals of Programming,3,UV-3L,1:00-4:00,Thurs,PhySci C-100
CMSC 22,Object Oriented Programming,3,UV,11:00-12:00,TTh,SMA LH (D-306)
CMSC 22,Object Oriented Programming,3,UV-1L,1:00-4:00,Tues,ICS PC 2 (D-203)
CMSC 22,Object Oriented Programming,3,UV-2L,4:00-7:00,Tues,ICS PC 3 (D-205)
CMSC 22,Object Oriented Programming,3,UV-3L,4:00-7:00,Wed,ICS PC 6 (D-303)
CMSC 22,Object Oriented Programming,3,UV-4L,4:00-7:00,Thurs,ICS PC 3 (D-205)
CMSC 22,Object Oriented Programming,3,UV-5L,1:00-4:00,Fri,ICS PC 3 (D-205)
CMSC 22,Object Oriented Programming,3,CD,11:00-12:00,WF,SMA LH (D-306)
CMSC 22,Object Oriented Programming,3,CD-1L,1:00-4:00,Tues,ICS PC 3 (D-205)
CMSC 22,Object Oriented Programming,3,CD-2L,1:00-4:00,Wed,ICS PC 3 (D-205)
CMSC 22,Object Oriented Programming,3,CD-3L,4:00-7:00,Wed,ICS PC 3 (D-205)
CMSC 22,Object Oriented Programming,3,CD-4L,1:00-4:00,Thurs,ICS PC 3 (D-205)
CMSC 22,Object Oriented Programming,3,CD-5L,4:00-7:00,Fri,ICS PC 3 (D-205)
