course_code,course_name,units,description
CMSC 2,Introduction to the Internet,3,"Tools and services of the Internet, Internet protocols, search engines, file transfer protocol (FTP), email, list servers and hypertext markup language (HTML) programming. Prerequisite: None."
CMSC 11,Introduction to Computer Science,3,"Introduction to the major areas of computer science; software systems and methodology; computer theory; computer organization and architecture. Students learn to write programs using high-level block-structured programming language. Prerequisite: MATH 11 or MATH 17."
CMSC 12,Foundations of Computer Science,3,"An overview of the major areas of computer science. Prerequisite: None."
CMSC 21,Fundamentals of Programming,3,"Introduction to computer programming using a procedural high-level language. Program design, testing and debugging. Prerequisite: CMSC 12."
CMSC 22,Object-Oriented Programming,3,"Objects, design and implementation of object-oriented programs. Prerequisite: CMSC 12."
CMSC 23,Mobile Computing,3,"Methods and techniques for developing mobile applications. Prerequisite: CMSC 22."
CMSC 56,Discrete Mathematical Structures in Computer Science I,3,"Principles of logic, set theory, relations and functions, Boolean algebra and linear algebra. Prerequisite: None."
CMSC 57,Discrete Mathematical Structures in Computer Science II,3,"Principles of combinatorics, probability, algebraic systems and graph theory. Prerequisite: CMSC 56."
CMSC 100,Web Programming,3,"Design and implementation of web applications. Prerequisite: CMSC 22."
CMSC 123,Data Structures,3,"Abstract data types and implementation; lists, stacks, queues, trees, mappings, sets and graphs, searching and sorting techniques; dynamic storage management. Prerequisites: CMSC 21 & CMSC 57 or COI."
CMSC 124,Design and Implementation of Programming Languages,3,"Study of the fundamental concepts in the design and implementation of current high-level programming languages; syntax and translation; language definition structures; elementary and structured data types; abstraction mechanisms; sequence and data control; run time considerations. Prerequisite: CMSC 123 or COI."
CMSC 125,Operating Systems,3,"Processor management, memory management, file and disk management, resource management, concurrent processes, networks and distributed systems. Prerequisite: CMSC 123 or COI."
CMSC 127,File Processing and Database Systems,3,"Data models: relational, network and hierarchical models; Database management system, data definition and manipulation language; Data security, integrity, synchronization, protection and recovery; Principal database systems and query languages. Prerequisite: CMSC 22 or COI."
CMSC 128,Introduction to Software Engineering,3,"Software life cycle from the requirement specification and design phases through the construction of actual software; topics include planning a software project, cost estimation, software design, implementation and software maintenance. Prerequisite: CMSC 123 or COI."
CMSC 129,Principles of Compiler Design,3,"Fundamental concepts in the design and implementation of compilers: lexical analysis, syntax analysis, intermediate code generation, code generation and optimization. Prerequisite: CMSC 124."
CMSC 130,Logic Design and Digital Computer Circuits,3,"Data representation and computer arithmetic; logic functions and equations; description, analysis, and design of combinatorial and sequential circuits; functional properties of digital integrated circuits. Prerequisite: CMSC 57."
CMSC 131,Introduction to Computer Organization and Machine-Level Programming,3,"An introduction to computer organization and interfaces between hardware and software; microcomputer systems; basic compiler organization, interfacing, interrupt mechanisms; assembly language programming; Machine vs. Assembly vs. High-level language, data structure representation, program control implementations, subroutines, parameter passing, recursion, direct video graphics, serial port communications. Prerequisite: CMSC 21 or COI."
CMSC 132,Computer Architecture,3,"Advanced topics in computer systems organization from a designer’s point of view: multiprocessing, pipelining, array processors, associative processors; Microprogramming, techniques for increasing primary memory bandwidths; Modularization, interleaving, access path widening, cache and associative memories; Virtual memory; Bus structures; Multiprogramming and time-sharing organizations; Network principles and protocols; Distributed resources. Prerequisite: CMSC 131."
CMSC 137,Data Communications and Networking,3,"Basic principles of data communications; design issues and protocols in the layers of data network; networks for various applications. Prerequisite: CMSC 125."
CMSC 141,Automata and Language Theory,3,"Finite automata and regular languages; push-down automata and context-free languages. Turing machines and enumerable sets: linear-bounded automata and context-free languages, compatibility and the halting problem; undecidable problems; recursive and recursively-enumerable languages and computational complexity. Prerequisite: CMSC 123 or COI."
CMSC 142,Design and Analysis of Algorithms,3,"Algorithm design techniques; use of data structures, divide and conquer, dynamic programming, greedy techniques, local and global search, complexity analysis of algorithms, asymptotic analysis, worst case and average case, recurrences, lower bounds. NP-completeness. Prerequisite: CMSC 123 or COI."
CMSC 150,Numerical and Symbolic Computation,3,"Computational problem solving; sources of errors in computation; iterative approximation methods and symbolic algebra; mathematical software libraries and symbolic manipulation packages. Prerequisite: MATH 27 or MATH 36, and CMSC 21, or COI."
